Time,Amount,Transaction_Frequency_Behavior,Device_Login_Pattern,Spending_Pattern_Deviation,Location_Pattern,Account_Activity_Behavior,Payment_Method,Merchant_Interaction_Behavior,Overall_Risk_Score,Class
10,250,2,Mobile,1,Home,Normal,Card,2,1,0
15,1200,5,Laptop,3,New,High,Online,4,3,1
5,75,1,Mobile,0,Home,Normal,Cash,1,0,0
30,2000,6,Desktop,4,International,Unusual,Card,3,4,1
12,300,2,Laptop,1,Known,Normal,UPI,2,1,0
45,1500,7,Unknown Device,5,International,High,Online,4,3,1
8,60,1,Mobile,0,Home,Normal,Wallet,1,0,0
22,900,4,Desktop,2,New,High,Card,3,2,1
18,150,2,Laptop,1,Known,Normal,UPI,2,1,0
50,2200,8,Unknown Device,6,International,Unusual,Online,4,4,1
14,400,3,Mobile,1,Home,Normal,Card,2,1,0
28,1700,6,Laptop,4,New,High,Online,3,3,1
7,90,1,Mobile,0,Home,Normal,Cash,1,0,0
35,2100,7,Desktop,5,International,Unusual,Card,4,4,1
16,350,2,Laptop,1,Known,Normal,UPI,2,1,0
48,1800,7,Unknown Device,5,International,High,Online,4,3,1
9,80,1,Mobile,0,Home,Normal,Wallet,1,0,0
24,950,4,Desktop,2,New,High,Card,3,2,1
20,200,2,Laptop,1,Known,Normal,UPI,2,1,0
55,2300,8,Unknown Device,6,International,Unusual,Online,4,4,1
